"filename", "language", "Makefile", "C", "Python", "comment", "blank", "total"
"/home/cypooos/code/TIPE/parallel/graph/complexity_matrix.py", "Python", 0, 0, 30, 2, 13, 45
"/home/cypooos/code/TIPE/parallel/graph/complexity_matrix_complet.py", "Python", 0, 0, 30, 3, 13, 46
"/home/cypooos/code/TIPE/parallel/graph/heatmap.py", "Python", 0, 0, 30, 4, 16, 50
"/home/cypooos/code/TIPE/parallel/graph/matrix_not_e.py", "Python", 0, 0, 31, 3, 16, 50
"/home/cypooos/code/TIPE/parallel/graph/theory_graph.py", "Python", 0, 0, 25, 0, 5, 30
"/home/cypooos/code/TIPE/parallel/graph/theory_heatmap.py", "Python", 0, 0, 24, 0, 7, 31
"/home/cypooos/code/TIPE/parallel/include/algos.h", "C", 0, 8, 0, 0, 3, 11
"/home/cypooos/code/TIPE/parallel/include/benchmark.h", "C", 0, 35, 0, 12, 12, 59
"/home/cypooos/code/TIPE/parallel/include/graphe.h", "C", 0, 36, 0, 2, 10, 48
"/home/cypooos/code/TIPE/parallel/include/matrix_algos.h", "C", 0, 8, 0, 0, 3, 11
"/home/cypooos/code/TIPE/parallel/makefile", "Makefile", 14, 0, 0, 0, 6, 20
"/home/cypooos/code/TIPE/parallel/src/algos.c", "C", 0, 133, 0, 16, 23, 172
"/home/cypooos/code/TIPE/parallel/src/benchmark.c", "C", 0, 323, 0, 14, 90, 427
"/home/cypooos/code/TIPE/parallel/src/graphe.c", "C", 0, 166, 0, 4, 22, 192
"/home/cypooos/code/TIPE/parallel/src/main.c", "C", 0, 12, 0, 24, 5, 41
"/home/cypooos/code/TIPE/parallel/src/matrix_algos.c", "C", 0, 153, 0, 10, 30, 193
"/home/cypooos/code/TIPE/parallel/src/test.c", "C", 0, 28, 0, 8, 8, 44
"Total", "-", 14, 902, 170, 102, 282, 1470
